event_id,verifier_fallback_triggered,raw_headings_exactly_once,raw_heading_order_correct,raw_structural_pass,raw_evidence_bullet_count,raw_five_evidence_bullets,raw_shap_mentions,raw_all_five_shap_mentions,raw_direction_mentions,raw_all_five_directions,raw_additional_title_present,raw_reached_token_limit,raw_missing_headings,a4_all_sections_present,a4_heading_order_correct,a4_heading_counts_correct,a4_evidence_bullet_count,a4_evidence_contract_passed,a4_quality_gate_passed
UNSW-OFFICIAL-442,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-578,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-822,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-862,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-957,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-966,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-1294,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-1319,True,False,False,False,5,True,0,False,5,True,True,False,Human Review,True,True,True,5,True,True
UNSW-OFFICIAL-1468,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-1587,True,True,True,True,5,True,0,False,0,False,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-1645,True,False,False,False,5,True,0,False,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-1779,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-1860,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-2180,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-2362,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-2491,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-2673,True,False,False,False,5,True,0,False,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-2751,True,False,False,False,5,True,0,False,0,False,True,False,Human Review,True,True,True,5,True,True
UNSW-OFFICIAL-2840,True,False,False,False,5,True,5,True,10,True,True,True,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-2842,True,False,False,False,5,True,5,True,10,True,True,True,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-2854,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-2866,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-2899,True,True,True,True,5,True,0,False,3,False,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-2905,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-2942,True,False,False,False,5,True,0,False,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-3205,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-3580,True,True,True,True,5,True,5,True,5,True,True,True,,True,True,True,5,True,True
UNSW-OFFICIAL-3606,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-3778,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-3979,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-4165,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-4195,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-4263,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-4309,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-4395,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-4466,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-4496,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-4719,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-4748,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-4896,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-5208,True,False,False,False,5,True,0,False,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-5249,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-5298,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-5355,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-5529,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-5562,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-5574,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-5722,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-6122,True,False,False,False,5,True,0,False,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-6144,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-6304,True,True,True,True,5,True,5,True,0,False,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-6482,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-6546,True,False,False,False,5,True,0,False,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-6585,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-6668,True,False,False,False,5,True,0,False,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-6765,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-7009,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-7010,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-7015,True,False,False,False,5,True,5,True,5,True,True,True,Recommended Action|Limitations,True,True,True,5,True,True
UNSW-OFFICIAL-7340,True,False,False,False,5,True,0,False,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-7367,True,False,False,False,5,True,0,False,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-7394,True,False,False,False,5,True,0,False,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-7562,True,False,False,False,5,True,0,False,5,True,True,False,Human Review,True,True,True,5,True,True
UNSW-OFFICIAL-7657,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-7727,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-7796,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-7890,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-8100,True,False,False,False,5,True,5,True,5,True,True,True,Limitations,True,True,True,5,True,True
UNSW-OFFICIAL-8207,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-8497,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-8748,True,False,False,False,5,True,0,False,0,False,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-8793,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-8891,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-8897,True,False,False,False,5,True,0,False,0,False,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-8900,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-8909,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-9004,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-9757,True,False,False,False,5,True,5,True,5,True,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-9931,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-10015,True,False,False,False,5,True,0,False,5,True,True,False,Risk and Policy,True,True,True,5,True,True
UNSW-OFFICIAL-10029,True,False,False,False,5,True,0,False,0,False,True,False,Recommended Action,True,True,True,5,True,True
UNSW-OFFICIAL-10238,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-10272,False,True,True,True,5,True,5,True,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-10450,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-10690,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
UNSW-OFFICIAL-10762,True,True,True,True,5,True,0,False,5,True,True,False,,True,True,True,5,True,True
